,vote,pro_args,con_args
3200,I would probably vote against it,It reduces bureaucracy and administrative expenses | It reduces anxiety about financing basic needs,It is impossible to finance | It is against the principle of linking merit and reward | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
3201,I would probably vote for it,It reduces bureaucracy and administrative expenses | It reduces anxiety about financing basic needs,It is impossible to finance
3202,I would probably vote against it,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases solidarity, because it is funded by everyone",It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state
3203,I would probably vote against it,"It reduces bureaucracy and administrative expenses | It encourages financial independence and self-responsibility | It creates more equality of opportunity | It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone",It is impossible to finance | It is against the principle of linking merit and reward | It might encourage people to stop working | Only the people who need it most should get something from the state | It increases dependence on the state
3204,I would vote for it,It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state
3205,I would vote for it,It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state
3206,I would vote against it,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility,It might encourage people to stop working | It is against the principle of linking merit and reward | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | Only the people who need it most should get something from the state
3207,I would vote against it,None of the above,Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | It is impossible to finance | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state | It might encourage people to stop working
3208,I would probably vote for it,It reduces anxiety about financing basic needs,It might encourage people to stop working
3209,I would vote against it,None of the above,It might encourage people to stop working
3210,I would vote against it,It reduces anxiety about financing basic needs | It creates more equality of opportunity,It might encourage people to stop working | It is impossible to finance | It increases dependence on the state
3211,I would vote for it,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit
3212,I would vote for it,It reduces bureaucracy and administrative expenses,It might encourage people to stop working
3213,I would probably vote for it,It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state | It is impossible to finance
3214,I would probably vote for it,None of the above,It might encourage people to stop working
3215,I would not vote,None of the above,None of the above
3216,I would vote for it,It creates more equality of opportunity,It might encourage people to stop working
3217,I would probably vote against it,It increases appreciation for household work and volunteering | It creates more equality of opportunity,It increases dependence on the state | It might encourage people to stop working
3218,I would vote for it,It reduces bureaucracy and administrative expenses,Only the people who need it most should get something from the state
3219,I would vote for it,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit
3220,I would vote for it,It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs | It creates more equality of opportunity,It increases dependence on the state
3221,I would vote for it,It reduces anxiety about financing basic needs,It might encourage people to stop working
3222,I would vote for it,"It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility | It creates more equality of opportunity | It reduces bureaucracy and administrative expenses",Foreigners might come to my country and take advantage of the benefit
3223,I would vote for it,It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering,It is impossible to finance
3224,I would probably vote for it,It encourages financial independence and self-responsibility,Only the people who need it most should get something from the state
3225,I would vote for it,"It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses",It might encourage people to stop working
3226,I would probably vote for it,"It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It encourages financial independence and self-responsibility",Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It increases dependence on the state
3227,I would probably vote for it,It reduces bureaucracy and administrative expenses | It encourages financial independence and self-responsibility,It might encourage people to stop working | Only the people who need it most should get something from the state
3228,I would not vote,It reduces bureaucracy and administrative expenses,None of the above
3229,I would vote for it,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It creates more equality of opportunity | It reduces bureaucracy and administrative expenses,It increases dependence on the state
3230,I would probably vote for it,It reduces anxiety about financing basic needs,It is impossible to finance
3231,I would vote for it,None of the above,None of the above
3232,I would probably vote against it,None of the above,It is impossible to finance
3233,I would probably vote for it,"It reduces bureaucracy and administrative expenses | It increases solidarity, because it is funded by everyone",It might encourage people to stop working | It is impossible to finance
3234,I would vote for it,It creates more equality of opportunity,None of the above
3235,I would vote for it,It reduces bureaucracy and administrative expenses,It increases dependence on the state
3236,I would probably vote against it,It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses,Only the people who need it most should get something from the state
3237,I would probably vote for it,"It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state
3238,I would probably vote for it,It creates more equality of opportunity,None of the above
3239,I would vote for it,It creates more equality of opportunity,It is impossible to finance
3240,I would probably vote for it,It encourages financial independence and self-responsibility,None of the above
3241,I would vote for it,It reduces bureaucracy and administrative expenses,Foreigners might come to my country and take advantage of the benefit
3242,I would probably vote for it,It reduces bureaucracy and administrative expenses,It is against the principle of linking merit and reward
3243,I would probably vote against it,None of the above,Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state
3244,I would probably vote for it,It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses,None of the above
3245,I would vote against it,It reduces bureaucracy and administrative expenses,It is against the principle of linking merit and reward
3246,I would probably vote for it,It creates more equality of opportunity | It increases appreciation for household work and volunteering,It is impossible to finance | It increases dependence on the state | Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit
3247,I would probably vote for it,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It reduces bureaucracy and administrative expenses,Only the people who need it most should get something from the state | It is impossible to finance
3248,I would vote against it,None of the above,Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | It is impossible to finance | It might encourage people to stop working
3249,I would vote for it,It reduces bureaucracy and administrative expenses | It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility,It might encourage people to stop working
3250,I would probably vote for it,It reduces bureaucracy and administrative expenses,Only the people who need it most should get something from the state
3251,I would vote for it,It creates more equality of opportunity,None of the above
3252,I would vote for it,It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering,It is against the principle of linking merit and reward
3253,I would probably vote against it,None of the above,It increases dependence on the state
3254,I would probably vote for it,It reduces bureaucracy and administrative expenses,Only the people who need it most should get something from the state
3255,I would probably vote for it,"It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering | It creates more equality of opportunity",Only the people who need it most should get something from the state
3256,I would not vote,None of the above,None of the above
3257,I would probably vote for it,It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit
3258,I would vote for it,"It increases solidarity, because it is funded by everyone | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering | It creates more equality of opportunity | It reduces anxiety about financing basic needs",It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | It is against the principle of linking merit and reward
3259,I would not vote,None of the above,None of the above
3260,I would probably vote for it,It creates more equality of opportunity,Only the people who need it most should get something from the state
3261,I would probably vote for it,"It reduces bureaucracy and administrative expenses | It increases solidarity, because it is funded by everyone",None of the above
3262,I would probably vote for it,It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases appreciation for household work and volunteering,It is impossible to finance | Only the people who need it most should get something from the state | It is against the principle of linking merit and reward | It increases dependence on the state
3263,I would vote for it,It increases appreciation for household work and volunteering,Only the people who need it most should get something from the state
3264,I would vote for it,"It increases solidarity, because it is funded by everyone | It encourages financial independence and self-responsibility",It might encourage people to stop working | Only the people who need it most should get something from the state
3265,I would probably vote for it,It reduces bureaucracy and administrative expenses | It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state
3266,I would probably vote for it,It creates more equality of opportunity | It reduces bureaucracy and administrative expenses,Only the people who need it most should get something from the state | It is impossible to finance
3267,I would vote against it,It creates more equality of opportunity,It might encourage people to stop working
3268,I would vote for it,It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses,It is impossible to finance
3269,I would probably vote for it,It reduces anxiety about financing basic needs | It creates more equality of opportunity,It might encourage people to stop working | It is impossible to finance | Only the people who need it most should get something from the state | It increases dependence on the state | It is against the principle of linking merit and reward
3270,I would probably vote for it,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working
3271,I would vote against it,None of the above,It is impossible to finance | It is against the principle of linking merit and reward | It might encourage people to stop working | It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit
3272,I would probably vote against it,None of the above,None of the above
3273,I would vote for it,"It creates more equality of opportunity | It encourages financial independence and self-responsibility | It reduces bureaucracy and administrative expenses | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering",Only the people who need it most should get something from the state
3274,I would probably vote for it,"It increases solidarity, because it is funded by everyone",It increases dependence on the state
3275,I would probably vote for it,"It increases solidarity, because it is funded by everyone",Only the people who need it most should get something from the state
3276,I would probably vote for it,It reduces bureaucracy and administrative expenses,Only the people who need it most should get something from the state
3277,I would vote against it,None of the above,Foreigners might come to my country and take advantage of the benefit
3278,I would not vote,It reduces bureaucracy and administrative expenses,It is impossible to finance
3279,I would vote for it,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering",Foreigners might come to my country and take advantage of the benefit
3280,I would vote against it,It reduces anxiety about financing basic needs | It creates more equality of opportunity,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | It is impossible to finance
3281,I would probably vote for it,"It increases solidarity, because it is funded by everyone | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs | It creates more equality of opportunity | It reduces bureaucracy and administrative expenses",Only the people who need it most should get something from the state | It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit
3282,I would probably vote for it,It creates more equality of opportunity | It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
3283,I would vote for it,It reduces anxiety about financing basic needs,It might encourage people to stop working
3284,I would vote for it,It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state
3285,I would vote for it,"It increases solidarity, because it is funded by everyone | It creates more equality of opportunity | It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility",Only the people who need it most should get something from the state | It might encourage people to stop working
3286,I would probably vote against it,None of the above,It is impossible to finance
3287,I would probably vote for it,It creates more equality of opportunity | It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward | Foreigners might come to my country and take advantage of the benefit
3288,I would probably vote for it,It reduces bureaucracy and administrative expenses,None of the above
3289,I would not vote,None of the above,Only the people who need it most should get something from the state
3290,I would probably vote for it,"It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses | It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering | It creates more equality of opportunity",None of the above
3291,I would probably vote for it,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering",It might encourage people to stop working | Only the people who need it most should get something from the state
3292,I would not vote,None of the above,None of the above
3293,I would probably vote for it,It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
3294,I would vote for it,"It encourages financial independence and self-responsibility | It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit
3295,I would vote against it,None of the above,It increases dependence on the state
3296,I would vote for it,It creates more equality of opportunity | It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance
3297,I would probably vote against it,It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | Only the people who need it most should get something from the state | It is against the principle of linking merit and reward
3298,I would probably vote against it,It reduces anxiety about financing basic needs | It creates more equality of opportunity,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state
3299,I would probably vote for it,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It reduces bureaucracy and administrative expenses,Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
3300,I would vote for it,It reduces bureaucracy and administrative expenses,Only the people who need it most should get something from the state
3301,I would probably vote for it,It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward
3302,I would not vote,None of the above,None of the above
3303,I would vote against it,None of the above,It might encourage people to stop working
3304,I would probably vote for it,It encourages financial independence and self-responsibility,It is against the principle of linking merit and reward
3305,I would vote for it,"It increases solidarity, because it is funded by everyone | It creates more equality of opportunity",Foreigners might come to my country and take advantage of the benefit
3306,I would probably vote for it,It reduces bureaucracy and administrative expenses,Only the people who need it most should get something from the state | It is impossible to finance
3307,I would vote against it,None of the above,Foreigners might come to my country and take advantage of the benefit
3308,I would vote for it,"It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering",Foreigners might come to my country and take advantage of the benefit
3309,I would vote for it,"It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses | It creates more equality of opportunity | It increases solidarity, because it is funded by everyone | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering",None of the above
3310,I would probably vote for it,It creates more equality of opportunity | It increases appreciation for household work and volunteering,It is impossible to finance | Only the people who need it most should get something from the state | It is against the principle of linking merit and reward
3311,I would vote for it,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It reduces bureaucracy and administrative expenses | It increases solidarity, because it is funded by everyone",It is impossible to finance
3312,I would probably vote for it,It reduces bureaucracy and administrative expenses | It creates more equality of opportunity,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state | It increases dependence on the state
3313,I would probably vote against it,None of the above,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state
3314,I would probably vote for it,It encourages financial independence and self-responsibility | It reduces bureaucracy and administrative expenses,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | Only the people who need it most should get something from the state
3315,I would probably vote for it,"It increases solidarity, because it is funded by everyone",It might encourage people to stop working
3316,I would probably vote for it,It reduces bureaucracy and administrative expenses,It might encourage people to stop working | It is against the principle of linking merit and reward
3317,I would probably vote for it,It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering | It creates more equality of opportunity | It reduces bureaucracy and administrative expenses | It reduces anxiety about financing basic needs,None of the above
3318,I would probably vote for it,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It creates more equality of opportunity | It reduces bureaucracy and administrative expenses",Only the people who need it most should get something from the state | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward
3319,I would vote for it,It reduces bureaucracy and administrative expenses,None of the above
3320,I would probably vote for it,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is against the principle of linking merit and reward | It is impossible to finance | Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state
3321,I would probably vote against it,None of the above,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state
3322,I would vote for it,It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering | It reduces bureaucracy and administrative expenses,Only the people who need it most should get something from the state
3323,I would probably vote for it,It creates more equality of opportunity,It is impossible to finance
3324,I would vote for it,"It creates more equality of opportunity | It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering",It increases dependence on the state | Only the people who need it most should get something from the state
3325,I would probably vote against it,It encourages financial independence and self-responsibility,It might encourage people to stop working
3326,I would probably vote for it,It creates more equality of opportunity,It increases dependence on the state
3327,I would probably vote for it,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses",None of the above
3328,I would probably vote for it,It reduces anxiety about financing basic needs,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
3329,I would probably vote against it,It reduces bureaucracy and administrative expenses,Foreigners might come to my country and take advantage of the benefit
3330,I would vote against it,None of the above,None of the above
3331,I would not vote,None of the above,None of the above
3332,I would vote for it,"It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs | It creates more equality of opportunity",It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state
3333,I would not vote,None of the above,None of the above
3334,I would vote for it,It reduces anxiety about financing basic needs,None of the above
3335,I would probably vote for it,It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering | It creates more equality of opportunity,It is impossible to finance
3336,I would not vote,None of the above,None of the above
3337,I would vote for it,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It is against the principle of linking merit and reward
3338,I would probably vote against it,It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state
3339,I would probably vote for it,"It increases solidarity, because it is funded by everyone",It is impossible to finance
3340,I would probably vote against it,It reduces bureaucracy and administrative expenses,It increases dependence on the state
3341,I would probably vote for it,It creates more equality of opportunity,It increases dependence on the state
3342,I would vote for it,It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working
3343,I would vote against it,None of the above,It increases dependence on the state | It might encourage people to stop working
3344,I would not vote,It encourages financial independence and self-responsibility,It is impossible to finance | It might encourage people to stop working
3345,I would vote for it,None of the above,Only the people who need it most should get something from the state
3346,I would probably vote for it,"It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs",None of the above
3347,I would probably vote for it,None of the above,It is impossible to finance
3348,I would vote for it,"It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses | It encourages financial independence and self-responsibility",Only the people who need it most should get something from the state
3349,I would not vote,None of the above,None of the above
3350,I would probably vote for it,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit
3351,I would probably vote against it,It encourages financial independence and self-responsibility,It increases dependence on the state | It might encourage people to stop working
3352,I would not vote,"It increases solidarity, because it is funded by everyone",It increases dependence on the state | It is against the principle of linking merit and reward
3353,I would not vote,None of the above,It might encourage people to stop working | It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state | It is impossible to finance
3354,I would probably vote against it,It reduces bureaucracy and administrative expenses,It might encourage people to stop working
3355,I would not vote,None of the above,None of the above
3356,I would probably vote for it,It creates more equality of opportunity,It might encourage people to stop working
3357,I would probably vote for it,None of the above,Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | It is impossible to finance | It might encourage people to stop working
3358,I would vote for it,"It increases solidarity, because it is funded by everyone | It creates more equality of opportunity | It reduces bureaucracy and administrative expenses | It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering",It might encourage people to stop working
3359,I would probably vote for it,It encourages financial independence and self-responsibility,Only the people who need it most should get something from the state
3360,I would vote against it,None of the above,Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state | It is impossible to finance | It might encourage people to stop working
3361,I would probably vote against it,It reduces bureaucracy and administrative expenses,It is impossible to finance
3362,I would vote for it,None of the above,Only the people who need it most should get something from the state
3363,I would probably vote for it,It creates more equality of opportunity,Only the people who need it most should get something from the state
3364,I would not vote,It increases appreciation for household work and volunteering,It increases dependence on the state
3365,I would vote for it,It increases appreciation for household work and volunteering | It reduces bureaucracy and administrative expenses,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | Only the people who need it most should get something from the state
3366,I would probably vote for it,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses",It is against the principle of linking merit and reward | It might encourage people to stop working | It is impossible to finance
3367,I would vote for it,"It increases solidarity, because it is funded by everyone",It is against the principle of linking merit and reward
3368,I would vote for it,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",It is against the principle of linking merit and reward | Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | It might encourage people to stop working | It is impossible to finance
3369,I would probably vote for it,It reduces anxiety about financing basic needs,It might encourage people to stop working
3370,I would vote against it,It increases appreciation for household work and volunteering,It is impossible to finance
3371,I would vote for it,"It creates more equality of opportunity | It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses | It increases solidarity, because it is funded by everyone",Only the people who need it most should get something from the state | It increases dependence on the state
3372,I would not vote,None of the above,None of the above
3373,I would probably vote for it,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It increases dependence on the state | It is impossible to finance | It is against the principle of linking merit and reward
3374,I would probably vote for it,It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working
3375,I would probably vote for it,None of the above,None of the above
3376,I would vote for it,It creates more equality of opportunity,It is impossible to finance
3377,I would vote for it,"It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit
3378,I would probably vote for it,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",None of the above
3379,I would vote against it,It creates more equality of opportunity,It is impossible to finance
3380,I would probably vote for it,It encourages financial independence and self-responsibility,Foreigners might come to my country and take advantage of the benefit
3381,I would not vote,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit
3382,I would vote for it,"It increases solidarity, because it is funded by everyone | It creates more equality of opportunity | It encourages financial independence and self-responsibility",Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state
3383,I would not vote,None of the above,None of the above
3384,I would probably vote for it,It reduces anxiety about financing basic needs | It creates more equality of opportunity,It might encourage people to stop working
3385,I would probably vote for it,It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases appreciation for household work and volunteering,It is against the principle of linking merit and reward | It might encourage people to stop working
3386,I would not vote,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is against the principle of linking merit and reward | Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state
3387,I would not vote,"It increases solidarity, because it is funded by everyone",It is impossible to finance
3388,I would probably vote for it,It increases appreciation for household work and volunteering,It increases dependence on the state
3389,I would probably vote against it,It increases appreciation for household work and volunteering,It increases dependence on the state
3390,I would not vote,None of the above,None of the above
3391,I would probably vote for it,It increases appreciation for household work and volunteering,It is impossible to finance
3392,I would probably vote for it,It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | Only the people who need it most should get something from the state
3393,I would not vote,It reduces anxiety about financing basic needs,It might encourage people to stop working | Only the people who need it most should get something from the state
3394,I would probably vote for it,"It increases solidarity, because it is funded by everyone | It creates more equality of opportunity | It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility",It is impossible to finance
3395,I would probably vote for it,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering",It might encourage people to stop working | It is against the principle of linking merit and reward | Foreigners might come to my country and take advantage of the benefit
3396,I would not vote,None of the above,None of the above
3397,I would probably vote for it,It reduces anxiety about financing basic needs | It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working
3398,I would vote for it,It creates more equality of opportunity | It reduces anxiety about financing basic needs,It is impossible to finance | It increases dependence on the state
3399,I would probably vote against it,"It increases solidarity, because it is funded by everyone",It might encourage people to stop working
3400,I would vote for it,"It creates more equality of opportunity | It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone",It might encourage people to stop working | Only the people who need it most should get something from the state
3401,I would probably vote for it,It encourages financial independence and self-responsibility | It creates more equality of opportunity,It is impossible to finance | It is against the principle of linking merit and reward
3402,I would not vote,None of the above,None of the above
3403,I would probably vote against it,It encourages financial independence and self-responsibility,It might encourage people to stop working
3404,I would probably vote for it,It encourages financial independence and self-responsibility,Foreigners might come to my country and take advantage of the benefit
3405,I would vote for it,It reduces anxiety about financing basic needs,None of the above
3406,I would probably vote for it,It encourages financial independence and self-responsibility | It creates more equality of opportunity | It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | Only the people who need it most should get something from the state
3407,I would probably vote against it,None of the above,None of the above
3408,I would probably vote for it,It reduces anxiety about financing basic needs | It creates more equality of opportunity,It increases dependence on the state | It is impossible to finance | It might encourage people to stop working | Only the people who need it most should get something from the state
3409,I would probably vote against it,"It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses",Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It might encourage people to stop working | It increases dependence on the state
3410,I would not vote,None of the above,None of the above
3411,I would vote for it,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility,It might encourage people to stop working | It is impossible to finance
3412,I would vote for it,"It increases solidarity, because it is funded by everyone",It might encourage people to stop working
3413,I would vote for it,"It increases solidarity, because it is funded by everyone",It might encourage people to stop working | It increases dependence on the state
3414,I would probably vote for it,"It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone",Only the people who need it most should get something from the state
3415,I would probably vote for it,It creates more equality of opportunity,Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It is against the principle of linking merit and reward
3416,I would vote for it,"It reduces bureaucracy and administrative expenses | It increases solidarity, because it is funded by everyone | It creates more equality of opportunity",It might encourage people to stop working
3417,I would probably vote against it,"It increases solidarity, because it is funded by everyone",None of the above
